Drug_name, Disease, Clinical_status
LErafAON,tumour/cancer,2A00-2F9Z
LETRAZURIL,Isosporiasis,1A33
Leukocyte interleukin,cancer,2D42
Leukocyte interleukin,infection,1C62
LFA-102,tumour/cancer,2A00-2F9Z
LFn-p24,infection,1C62
LFn-p24-B-C,infection,1C62
LG631,multiforme,2A00.0
LG631,multiforme,2A00.0
LGD-4033,disorder,FA00-FC0Z
LGK974,tumour/cancer,2A00-2F9Z
LIlotomab satetraxetan,lymphoma,2A81
Lintuzumab Ac-226,leukaemia,2A60-2B33
LIPO-4,infection,1C62
Lipovaxin-MM,Melanoma,2C30
Litenimod,multiforme,2A00.0
Live attenuated human parainfluenza virus type 2 vaccine,infection,1D9Y
LMB-100,Mesothelioma,2C51.2
LMB-100,cancer,2C10
LM-CD45,rejection,NE84
L-MDAM,tumour/cancer,2A00-2F9Z
LMP-1/LMP-2 CTLs,Lymphoma,2A80-2A86
LMV-601,infection,1F00
LNK-754,cancer,2C94
Long-acting erythropoietin conjugate,Anemia,3A00-3A9Z
LOR 253,cancer,2D50-2E2Z
Lotilibcin dermatological cream,infection,1A00-1C4Z
LOXO-101,tumour/cancer,2A00-2F9Z
LOXO-101,tumour/cancer,2A00-2F9Z
LOXO-195,tumour/cancer,2A00-2F9Z
LOXO-292,tumour/cancer,2A00-2F9Z
LP-261,tumour/cancer,2A00-2F9Z
Lpathomab,tumour/cancer,2A00-2F9Z
LSZ102,cancer,2C60-2C65
LT-3001,stroke,8B11.5Z
LTT462,tumour/cancer,2A00-2F9Z
LTX-04,Pain,MG30-MG3Z
LTX-315,tumour/cancer,2A00-2F9Z
Lu AF20513,disease,8A20
Lu-02-750,disease,8A00.0
Lu-AE04621,disease,8A00.0
Lu-AF11167,disorder,6B60
LUpartumab amadotin,tumour/cancer,2A00-2F9Z
LV305,cancer,2C60-2C65
LV305,Melanoma,2C30
LV305,cancer,2C25.Y
LX9211,pain,8E43.0
LXH254,cancer,2C25.Y
LXR 623,Arteriosclerosis,BD40
LXS196,Melanoma,2C30
LY01005,cancer,2C82.0
LY03003,disease,8A00.0
LY03005,Depression,6A70-6A7Z
LY03005,disorder,6A70.3
LY-203725,tumour/cancer,2A00-2F9Z
LY-2334737,tumour/cancer,2A00-2F9Z
LY-2393910,diabetes,5A11
LY-2584702,tumour/cancer,2A00-2F9Z
LY2606368 MsOH H2O,tumour/cancer,2A00-2F9Z
LY-2624587,tumour/cancer,2A00-2F9Z
LY2780301,tumour/cancer,2A00-2F9Z
LY-2811376,disease,8A20
LY-2881835,diabetes,5A11
LY2928057,Anemia,3A00-3A9Z
LY-2979165,disorder,6A60
LY3002813,disease,8A20
LY3009120,tumour/cancer,2A00-2F9Z
LY3022855,tumour/cancer,2A00-2F9Z
LY3039478,Lymphoma,2A80-2A86
LY3039478,tumour/cancer,2A00-2F9Z
LY3039478,leukaemia,2A90.5
LY3076226,tumour/cancer,2A00-2F9Z
LY3090106,arthritis,FA20
LY3090106,syndrome,4A43.20
LY309887,tumour/cancer,2A00-2F9Z
LY3127804,tumour/cancer,2A00-2F9Z
LY3164530,cancer,2A00-2F9Z
LY3164530,tumour/cancer,2A00-2F9Z
LY3200882,tumour/cancer,2A00-2F9Z
LY3214996,tumour/cancer,2A00-2F9Z
LY3300054,malignancy,2A00-2F9Z
LY3300054,tumour/cancer,2A00-2F9Z
LY3303560,disease,8A20
LY3316531,vulgaris,EA90
LY3321367,tumour/cancer,2A00-2F9Z
LY3381916,tumour/cancer,2A00-2F9Z
LY900014,diabetes,5A10
LY900014,diabetes,5A11
LYS-6KAKT1,tumour/cancer,2A00-2F9Z
LZM009,malignancy,2A00-2F9Z
LZM009,tumour/cancer,2A00-2F9Z
M-0004,disease,DA22.Z
M1 agonist,disease,8A20
M1 agonist,impairment,6D71
M2698,tumour/cancer,2A00-2F9Z
M281,disease,4A40-4A45
M2e influenza vaccine,infection,1E30-1E32
M3541,tumour/cancer,2A00-2F9Z
M3814,tumour/cancer,2A00-2F9Z
M4 agonist,disease,8A20
M4344,tumour/cancer,2A00-2F9Z
M7583,malignancy,2B33.Y
M8891,tumour/cancer,2A00-2F9Z
M9831,tumour/cancer,2A00-2F9Z
MA-0211,dystrophy,8C70
mab-216,leukaemia,2A60-2B33
MAGE-A4 TCR,tumour/cancer,2A00-2F9Z
MalariVax,Malaria,1F40-1F45
Marburg virus DNA vaccine,infection,1D60.1
Marizomib IV,glioma,2A00.0
Marizomib IV,myeloma,2A83
Matrix M,Vaccination,N.A.
Mavacamten,Cardiomyopathy,BC43
Mavacamten,cardiomyopathy,BC43.12
MAXY-4,diabetes,5A10
MazF gene therapy, HIV,infection,1C62
MB-101,glioblastoma,2A00.00
MB-102,leukaemia,2A60
MB-106,lymphoma,2B33.5
MB-11040,diabetes,5A10
MB-311,tumour/cancer,2A00-2F9Z
MB66 microbicide,infection,1C62
MBP(75-95),sclerosis,8A40
MBX400,infection,1D82
MBX-400/cyclopropavir,infection,1D82
MBX-700,infection,1E51.1
MCAF5352A,diabetes,5A10
MCD-386,disease,8A20
MCP-201,Pain,MG30-MG3Z
MCP-202,bladder,GC50.0
MD-920,healing,EL8Y
MDAM (y-methylene-10-deazaaminopterin),tumour/cancer,2A00-2F9Z
MDCO-216,syndrome,BA41
MDCO-216,Arteriosclerosis,BD40
MDL-27531,Epilepsy,8A60-8A68
MDNA55,metastases,2D50
MDNA55,glioblastoma,2A00.00
MDX-018,diabetes,5A10
MDX-018,tumour/cancer,2A00-2F9Z
MDX-1203,tumour/cancer,2A00-2F9Z
MDX-1411,tumour/cancer,2A00-2F9Z
ME-1071,infection,1A00-1C4Z
ME1100,pneumonia,CA40.0
ME-143,tumour/cancer,2A00-2F9Z
ME-401,leukaemia,2A82.0
ME-401,lymphoma,2A81
ME-401,lymphoma,2A80
ME-401,Lymphoma,2A80-2A86
MedChew-1401,spasm,MB47.3
MEDI0562,tumour/cancer,2A00-2F9Z
MEDI-0639,tumour/cancer,2A00-2F9Z
MEDI0680,tumour/cancer,2A00-2F9Z
MEDI0700,erythematosus,4A40.0
MEDI1341,disease,8A00.0
MEDI1814,disease,8A20
MEDI1841,disease,8A20
MEDI1873,tumour/cancer,2A00-2F9Z
MEDI-2338,disease,CA22
MEDI-3617,tumour/cancer,2A00-2F9Z
MEDI3726,cancer,2C82.0
MEDI4212,Asthma,CA23
MEDI4276,tumour/cancer,2A00-2F9Z
MEDI4920,arthritis,FA20
MEDI4920,syndrome,4A43.20
MEDI5083,tumour/cancer,2A00-2F9Z
MEDI5117,arthritis,FA20
MEDI-547,tumour/cancer,2A00-2F9Z
MEDI-550,infection,1C62
MEDI-557,infection,1C80
MEDI-565,cancer,2C11
MEDI-570,erythematosus,4A40.0
MEDI-573,tumour/cancer,2A00-2F9Z
MEDI-578,Pain,MG30-MG3Z
MEDI6383,tumour/cancer,2A00-2F9Z
MEDI7247,malignancy,2B33.Y
MEDI7352,Osteoarthritis,FA00-FA05
MEDI7352,Pain,MG30-MG3Z
MEDI7814,disease,CA22
MEDI8111,disorder,GA20-GA21
MEDI8897,infection,1C80
MEDI9197,tumour/cancer,2A00-2F9Z
MEDI9447,tumour/cancer,2A00-2F9Z
MEDl-551,Scleroderma,4A42
MEDl-557,infection,1C80
Melanoma antigens,Melanoma,2C30
Melanoma DNA vaccine,Melanoma,2C30
MEM-1414,disorder,6A60-6E23
Meninge B,Meningitis,1D01
Meningitis ACYW conj.,Meningitis,1D01
MER-102,Thrombosis,DB61-GB90
MER-4101,infection,1E30-1E32
MER-5101,disease,8A20
MER-5101,disease,8A20
Merestinib, LY2801653,tumour/cancer,2A00-2F9Z
Mesenchymal bone marrow-derived stem cell therapy,ischaemia,8B1Z
Mesenchymal stem cell therapy,disease,8A20
Mesenchymal stem cell therapy,stroke,8B11.5Z
Mesenchymal stem cell therapy,photoaging,EJ20
Mesenchymal stem cell therapy, ischemic-tolerant stem cells,infarction,BA41
Meso-CART,cancer,2C10
Mesothelin-targeted T cells,cancer,2C60-2C65
Metastat,vulgaris,ED80
METH-mab,dependence,6C46.2
Methotrexate subcutaneous auto-injection,arthritis,FA20
MG-1102,tumour/cancer,2A00-2F9Z
MGA271,cancer,2D50-2E2Z
MGD006,leukaemia,2A85
MGD006,lymphoma,2A80
MGD007,cancer,2B91.Z
MGD007,cancer,2B91
MGD009,tumour/cancer,2A00-2F9Z
MGD010,disease,4A40-4A45
MGD013,malignancy,2A00-2F9Z
MGD013,malignancy,2B33.Y
MGD013,tumour,2B33.Y
MGD013,tumour/cancer,2A00-2F9Z
MGN-1706,tumour/cancer,2A00-2F9Z
Mibefradil,multiforme,2A00.0
Mibefradil,cancer,2C73
Micro-dystrophin gene therapy,dystrophy,8C70
Minnelide,tumour/cancer,2A00-2F9Z
Minnelide 001,adenocarcinoma,2B72
Minnelide 001,cancer,2C11
MINT-1526A,tumour/cancer,2A00-2F9Z
MiRNA mimetics,cancer,2C82.0
MIST-B03,Inflammation,1A00-CA43.1
MIV 150 + zinc acetate,infection,1C62
Mivebresib,leukaemia,2A60
Mivebresib,myeloma,2A83
Mivebresib,tumour/cancer,2A00-2F9Z
MK 8719,palsy,8A00.10
MK-0731,tumour/cancer,2A00-2F9Z
MK-1248,tumour/cancer,2A00-2F9Z
MK-1308,tumour/cancer,2A00-2F9Z
MK-1454,Lymphoma,2A80-2A86
MK-1454,tumour/cancer,2A00-2F9Z
MK-1496,tumour/cancer,2A00-2F9Z
MK-1972,infection,1C62
MK-2118,Lymphoma,2A80-2A86
MK-2118,tumour/cancer,2A00-2F9Z
MK-2637,Schizophrenia,6A20
MK-2640,diabetes,5A10
MK-3134,Dementia,6D80-6D86
MK-3281,infection,1E51.1
MK-3328,disease,8A20
MK-3614,Hypertension,BA00-BA04
MK-4074,complication,5A2Y
MK-4166,tumour/cancer,2A00-2F9Z
MK-4280,tumour/cancer,2A00-2F9Z
MK-51,disease,DA24.Y
MK-5108,tumour/cancer,2A00-2F9Z
MK-5478,Hypertension,BA00-BA04
MK-5823,diabetes,5A11
MK-5890,tumour/cancer,2A00-2F9Z
MK-6186,infection,1C62
MK-6302,Neutropenia,4B00.0
MK-6325,infection,1E51.1
MK-6349,diabetes,5A11
MK-6406,disease,1A00-CA43.1
MK-7145,Hypertension,BA00-BA04
MK-7162,tumour/cancer,2A00-2F9Z
MK-7246,disease,CB40
MK-7252,tumour/cancer,2A00-2F9Z
MK-7288,sleepiness,MG42
MK-7684,tumour/cancer,2A00-2F9Z
MK-8033,tumour/cancer,2A00-2F9Z
MK-8150,Hypertension,BA00-BA04
MK-8266,hypertension,BA00
MK-8353,tumour/cancer,2A00-2F9Z
MK-8591,infection,1C62
MK-8655,diabetes,5A11
MK-8666,diabetes,5A11
MKC-1106-PP,tumour/cancer,2A00-2F9Z
MLN-3126,syndrome,4A43.20
MLN-576,leukaemia,2A85
MLN7243,tumour/cancer,2A00-2F9Z
MLN8054,tumour/cancer,2A00-2F9Z
MM-151,tumour/cancer,2A00-2F9Z
MM-302,cancer,2C60-2C65
MM-310,tumour/cancer,2A00-2F9Z
MN-201,tumour/cancer,2A00-2F9Z
MNK-010,tumour/cancer,2A00-2F9Z
Modified adenovirus delta24-RGD,multiforme,2A00.0
Molgramostim,healing,EL8Y
Monalizumab,leukaemia,2A82.0
Monalizumab,cancer,2D42
Monalizumab,tumour/cancer,2A00-2F9Z
Monohydroxyethylrutoside,disease,BA00-BE2Z
MORAb-022,diabetes,5A10
MORAb-022,arthritis,FA20
MORAb-066,cancer,2C10
MORAb-066,tumour/cancer,2A00-2F9Z
MORAb-202,tumour/cancer,2A00-2F9Z
MORAb-28,tumour/cancer,2A00-2F9Z
MOv18IgE,tumour/cancer,2A00-2F9Z
MOv19-BBz CAR T cells,cancer,2C74
MOv19-BBz CAR T cells,cancer,2C73
MOv19-BBz CAR T cells,cancer,2C10
MP-0112,degeneration,9B78.3
MP-124,stroke,8B11.5Z
MP-124,Stroke,8B20
MP-157,Hypertension,BA00-BA04
MPC-2130,tumour/cancer,2A00-2F9Z
MPC-3100,tumour/cancer,2A00-2F9Z
MR1-1,cancer,2A00
MR-1817,Pain,MG30-MG3Z
MRF-008,sclerosis,8A40
MRG-201,Scleroderma,4A42
MRKAd5/ALVAC,infection,1C62
MRNA MRK-1777,disease,1A00-CA43.1
MRNA-1388,infection,1D40
MRNA-1440,infection,1E30-1E32
MRNA-1851,infection,1E30-1E32
MRNA-2416,Lymphoma,2A80-2A86
MRNA-2416,tumour/cancer,2A00-2F9Z
MRNA-4157,tumour/cancer,2A00-2F9Z
MRX34,cancer,2C12
MRX-4TZT,paralysis,MB5Y
MRZ-8456,disorder,8A07-8A0Z
MS201408-0005A,tumour/cancer,2A00-2F9Z
MS201408-0005B,tumour/cancer,2A00-2F9Z
MS201408-0005C,tumour/cancer,2A00-2F9Z
MSB2311,malignancy,2A00-2F9Z
MSB2311,tumour/cancer,2A00-2F9Z
MSC2015103B,tumour/cancer,2A00-2F9Z
MSC2363318A,tumour/cancer,2A00-2F9Z
MSH-372,infection,1C62
MSX-122,tumour/cancer,2A00-2F9Z
MT-110,tumour/cancer,2A00-2F9Z
MT-112,tumour/cancer,2A00-2F9Z
MT-3724,leukaemia,2A82.00
MT-3724,lymphoma,2A86
MT-3724,lymphoma,2B33.5
MTIG7192A,tumour/cancer,2A00-2F9Z
MTRN-2696,tumour/cancer,2A00-2F9Z
MTRX-1011A,diabetes,5A10
MTV273,myeloma,2A83
MTX110,Glioma,2A00.0
MUC-1 CD40L dendritic cell vaccine,tumour/cancer,2A00-2F9Z
MUC-1 dendritic cancer vaccine,tumour/cancer,2A00-2F9Z
Multi-envelope HIV vaccine,infection,1C62
Multipeptide vaccine combination,Melanoma,2C30
Multiple sclerosis therapeutic,sclerosis,8A40
Muscular dystrophy gene therapy,dystrophy,8C70
Musculoskeletal disorder/metabolic disease therapy,disorder,5C50-5D2Z
MVA HER-2 AutoVac,cancer,2C60-2C65
MVA p53 vaccine,tumour/cancer,2A00-2F9Z
MVA-BN Brachyury,tumour/cancer,2A00-2F9Z
MVA-BN brachyury vaccine,tumour/cancer,2A00-2F9Z
MVA-BN Breast,cancer,2C82.0
MV-CEA,multiforme,2A00.0
MVI-118,cancer,2C82.0
MVT-1075,cancer,2C10
MVT-1075,tumour/cancer,2A00-2F9Z
MVT-5873,cancer,2B91.Z
MVT-5873,cancer,2C10
MVT-5873,cancer,2C82.0
MVT-5873,tumour/cancer,2A00-2F9Z
MYK-491,cardiomyopathy,BC43.0
MYO-201,dystrophy,8C70.4
Myoblast cell transplantation,infarction,BA41-BA43
Myoblast cell transplantation therapy,failure,BD10
Myocardial perfusion imaging agent,disease,BA80
MyoDys,dystrophy,8C70
Myolimus,disease,BA80
N-8295,infection,1E30-1E32
Na-APR-1,infection,1F68
Nagrestipen,transplantation,QB63.6
Naloxone buccal gel,dependence,6C43.2Z
Namitecan,tumour/cancer,2A00-2F9Z
NAM-NK cells + IL-2,myeloma,2A83
NAM-NK cells + IL-2,lymphoma,2B33.5
Nanoflu,infection,1E30
Nasal influenza vaccine,infection,1E30-1E32
NASPANVAC,infection,1E30-1E32
Natural killer cell therapy,myeloma,2A83
Navicixizumab,cancer,2B91.Z
Navicixizumab,cancer,2C74
Navicixizumab,cancer,2B91
Navicixizumab,cancer,2C73
Navicixizumab,cancer,2C51.Z
NB-003,vulgaris,ED80
NB-1008,infection,1E30
NBI-34041,disorder,6B82
NBI-640756,tremors,8A04.1
NBQX,disorder,6B60
NBTX-001,disorder,6B01
NBXT-001+Nobilis inhalation device,disease,8A20
NC-4016,tumour/cancer,2A00-2F9Z
NC-6004,cancer,2C94
NC-6004,cancer,2D42
NC-6300,sarcoma,2B57
NC-6300,tumour/cancer,2A00-2F9Z
NCX-1015,arthritis,FA20
NCX-6560,disease,BA00-BE2Z
ND-1.1,infection,1E30-1E32
ND7001,disorder,6A60-6E23
NDX-1017,disease,8A20
Neo-Kidney Augment,diabetes,5A11
NEO-PV-01,cancer,2C94
NEO-PV-01,Melanoma,2C30
Neo-Urinary Conduit,cancer,2C94
Neu-2000,arrest,MC82
NEV-801,tumour/cancer,2A00-2F9Z
NexVax2,disease,DA95
NexVax2,diabetes,5A10
NG-348,tumour/cancer,2A00-2F9Z
NGD 94-1,Schizophrenia,6A20
NGM313,diabetes,5A11
NGP 555,disease,8A20
NHS-IL 12,tumour/cancer,2A00-2F9Z
NI-0101,diabetes,5A10
NI-0701,diabetes,5A10
Nibentan,arrhythmias,BC9Z
Nicotinamide riboside,myopathy,8C73
NIP-004,Thrombocytopenia,3B64
Niraparib,sarcoma,2B52
Niraparib,cancer,2C73
Niraparib,cancer,2C73
NIS793,tumour/cancer,2A00-2F9Z
NitroSense PA6,pain,8E43.0
NIZ985,tumour/cancer,2A00-2F9Z
NK-314,tumour/cancer,2A00-2F9Z
NKP-1339,tumour/cancer,2A00-2F9Z
NKR-2 CAR-T Cells,leukaemia,2A60
NKR-2 CAR-T Cells,syndrome,2A37
NKR-2 cells,leukaemia,2A60
NKTR 214,cancer,2C94
NKTR 214,cancer,2B91.Z
NKTR 214,Melanoma,2C30
NKTR 214,Melanoma,2C30
NKTR 214,carcinoma,2C90
NKTR 214,Sarcoma,2A60-2C35
NKTR 214,tumour/cancer,2A00-2F9Z
NKTR 214,tumour/cancer,2A00-2F9Z
NKTR-105,tumour/cancer,2A00-2F9Z
NKTR-262,Melanoma,2C30
NKTR-262,tumour/cancer,2A00-2F9Z
NKTT-120,disorder,3A51
NLG802,tumour/cancer,2A00-2F9Z
NLG919,tumour/cancer,2A00-2F9Z
NLX-101,syndrome,LD90.4
NM-3,tumour/cancer,2A00-2F9Z
N-methanocarbathymidine,zoster,1E91
N-methanocarbathymidine,infection,1A24-1D9Z
NMS-1286937,tumour/cancer,2A00-2F9Z
NmVac,infection,1C1C
NmVac4,infection,1C1C
NN-1218,complication,5A2Y
NN-1218,diabetes,5A10
NN-1218,diabetes,5A11
NN1406,diabetes,5A10
NN1406,diabetes,5A11
NN-1952,diabetes,5A10
NN-414,diabetes,5A10
NN-7415,deficiency,3B11
NN-8828,diabetes,5A10
NN9748,diabetes,5A11
NN-9926,diabetes,5A11
NOCICEPTIN,Headache,8A80-8A84
NOX-700,diabetes,5A11
NOX-A12,degeneration,9B78.3
NP-500,x,5C50-5D2Z
NP-500,diabetes,5A11
NPC-09,Myopathy,8C7Y
NP-G2-044,tumour/cancer,2A00-2F9Z
NPT088,disease,8A20
NPT088,disorder,6A20-6A25
NPT-200-11,atrophy,8D87.0
NPT-200-11,disease,8A00.0
NS-8,incontinence,MF50.2
NSC-281612,tumour/cancer,2A00-2F9Z
NSC-639829,tumour/cancer,2A00-2F9Z
NSD-788,disorder,6B00-6B0Z
NsG-0202,disease,8A20
NST-001,Tinnitus,MC41
NTHi,influenza,1G40
NTHI vaccine,influenza,1G40
NU-206,disease,DE2Z
NuroPro,disease,8A00.0
NV-04,disease,BA00-BE2Z
NV-196,tumour/cancer,2A00-2F9Z
NV-52,disease,DD72
NVB-302,infection,1A04
NVS antibody,diabetes,5A10
NVS therapy,disease,BD4Z
NX-001,rejection,NE84
NX-CP105,ischaemia,8B1Z
NY-ESO-1 vaccine,tumour/cancer,2A00-2F9Z
OAP-189,diabetes,5A11
Oblinutuzumab,malignancy,2B33.Y
OBP-801,tumour/cancer,2A00-2F9Z
OC-10X,degeneration,9B78.3
OC-10X,retinopathy,9B71.01
OC-L vaccine,cancer,2C74
Octaplas LG,Thrombosis,DB61-GB90
OCV-105,cancer,2C10
Odanacatib,Osteoporosis,FB83.0
OG987SC,diabetes,5A11
OI287GT,diabetes,5A10-5A11
OI362GT,diabetes,5A10-5A11
Oleclumab,tumour/cancer,2A00-2F9Z
OM-174,tumour/cancer,2A00-2F9Z
Omeprazole-lansoprazole with buffer,Ulcer,CA02-CB40
OMN-54,tumour/cancer,2A00-2F9Z
OMP-18R5,tumour/cancer,2A00-2F9Z
OMP-21M18,tumour/cancer,2A00-2F9Z
OMP-313M32,tumour/cancer,2A00-2F9Z
OMP-336B11,tumour/cancer,2A00-2F9Z
OMP-52M51,tumour/cancer,2A00-2F9Z
Omri-Hep-B,infection,1E51.0
Omtriptolide,tumour/cancer,2A00-2F9Z
ON-01210.Na,syndrome,NF00
ON-01210.Na,syndrome,NF00
Oncolytic virus,cancer,2C82.0
Oncoquest-CLL,leukaemia,2A82.0
Oncoquest-CLL,leukaemia,2A60-2B33
Oncoquest-L,lymphoma,2A80
Oncoquest-L,lymphoma,2B33.5
ONCOS-102,cancer,2B91.Z
ONCOS-102,Melanoma,2C30
ONCOS-102,cancer,2C73
ONO-01210,syndrome,NF00
ONO-4059,lymphoma,2A86
ONO-4232,failure,BD10-BD13
ONO-4578,tumour/cancer,2A00-2F9Z
ONO-7475,leukaemia,2A60
ONS-3010,disease,DD70
ONS-3010,psoriasis,EA90.0
ONS-3010,vulgaris,EA90
ONS-3010,arthritis,FA20
ONS-3010,colitis,DD71
ONT-10,tumour/cancer,2A00-2F9Z
OntecizumabAmatuximab,cancer,2B91.Z
ONX-0801,tumour/cancer,2A00-2F9Z
ONX-0912,lymphoma,2B30
ONX-0912,myeloma,2A83
ONX-0912,tumour/cancer,2A00-2F9Z
ONYX-015,cancer,2D42
OPB-111077,malignancy,2B33.Y
OPB-111077,carcinoma,2C12.02
OPB-111077,tumour/cancer,2A00-2F9Z
OPB-51602,tumour/cancer,2A00-2F9Z
OPC 108459,fibrillation,BC81.3
OPC-14117,disorder,6B60
Opdivonivolumab,lymphoma,2B33.5
Opdivonivolumab,leukaemia,2A20.0
Opdivonivolumab,lymphoma,2A81
Opdivonivolumab,lymphoma,2A80
Opdivonivolumab,mesothelioma,2C26.0
Opdivonivolumab,myeloma,2A83
Opdivonivolumab,cancer,2C73
Opdivonivolumab,cancer,2C10
Opdivonivolumab,cancer,2C82.0
Opdivonivolumab,cancer,2C25.Y
Ophthalmological agents,disease,1F00.1Z
OPK-0018,Asthma,CA23
OPL-CCL2-LPM,Arthritis,FA20
OP-R003,malignancy,2B33.Y
Optiquel,Uveitis,9A96.Z
Oradoxel,tumour/cancer,2A00-2F9Z
ORADUR-ADHD,disorder,6A05.Z
Oral azacitidine,syndrome,2A37
Oral-Vimo-001,tumour/cancer,2A00-2F9Z
Oratecan,tumour/cancer,2A00-2F9Z
ORB-101,tumour/cancer,2A00-2F9Z
Org-25435,Epilepsy,8A60-8A68
Org-43902,Infertility,GB04
ORIC-101,tumour/cancer,2A00-2F9Z
OSI-930,tumour/cancer,2A00-2F9Z
O-SPC/rBRU vaccine,infection,1A02
OSPC-rDT vaccine,infection,1A02
OTSSP167,leukaemia,2A85
OTSSP167,leukaemia,2A60
OTSSP167,cancer,2C60-2C65
OTSSP167,leukaemia,2A82.0
OTSSP167,syndrome,2A37
OTSSP167,neoplasm,2A20
OTX-015,malignancy,2B33.Y
OTX-015,syndrome,2A37
OTX-015,tumour/cancer,2A00-2F9Z
OX-27,pain,MG30
Oxeglitazar,Gout,FA25
Oxyntomodulin,Obesity,5B81
P11187,diabetes,5A11
P1201-07,disorder,5C50-5D2Z
P1446A-05,tumour/cancer,2A00-2F9Z
P-2745,leukaemia,2A20.0
P-27A,Malaria,1F40-1F45
P28 cell penetrating peptide,disease,8A04-8D87
P28 peptide,tumour/cancer,2A00-2F9Z
P2X4 inhibitora,Endometriosis,GA10
P-3914,Inflammation,1A00-CA43.1
P53 cell pentrating peptide,disease,8A04-8D87
P-7170,tumour/cancer,2A00-2F9Z
P-7435,complication,5A2Y
PA-799,tumour/cancer,2A00-2F9Z
PAC1,astrocytoma,2A00.0
PAC1,glioblastoma,2A00.00
PACAP38,injury,ND56.4
Palomid-529 inhaled,disease,8A20
PAN-301-1,cancer,2C82.0
PAN-90806,retinopathy,9B71.0
PAN-90806,tumour/cancer,2A00-2F9Z
PANFLUVAC,infection,1E30-1E32
Parathyroid hormone analog,Osteoporosis,FB83.0
PAT-001,ichthyosis,EC20.02
PAT-001,ichthyosis,EC20.0Y
Patient-derived CD19- and CD22 specific CAR,Lymphoma,2A80-2A86
Patient-derived CD19- and CD22 specific CAR,leukaemia,2A60-2B33
Patritumab,cancer,2C25.Y
PB1046,Cardiomyopathy,BC43
PB1046,dystrophy,8C70
PB1046,failure,BD10-BD13
PB1046,Hypertension,BA00-BA04
PB1046,hypertension,BB01.0
PB-357,tumour/cancer,2A00-2F9Z
PB-6,infection,1A00-1C4Z
P-BCMA-101,myeloma,2A83
P-BCMA-101,myeloma,2A83
P-BCMA-101 CAR-T cells,myeloma,2A83
PBF-1129,cancer,2C25.Y
Pbi-shRNA STMN1 LP,tumour/cancer,2A00-2F9Z
PBSVax,infection,1C62
PC-1005,infection,1C62
Pc4 (topical formulation,vulgaris,EA90
PCA062,cancer,2C60-2C65
PCA062,cancer,2B70
PCA062,cancer,2D42
PCA062,tumour/cancer,2A00-2F9Z
PCM-075,leukaemia,2A60
PCM-075,cancer,2C82.0
PCM-075,tumour/cancer,2A00-2F9Z
PCO371,Hypoparathyroidism,5A50
PCSK9 Adnectin,disease,BA00-BE2Z
PCUR-101,cancer,2C82.0
PDC-41,Dysmenorrhea,GA34.3
PDC-APB,dermatitis,EK0Z
PD-L1 mAb + LY,tumour/cancer,2A00-2F9Z
PDM-08,tumour/cancer,2A00-2F9Z
PdpSC18,infection,1E50-1E51
PDR001,Lymphoma,2A80-2A86
PDR001,Melanoma,2C30
PDR001,cancer,2B72.1
PDR001,tumour/cancer,2A00-2F9Z
PDS-0101,infection,1A9Y
PDS-0101,infection,1A9Y
PDT with Photofrin,cancer,2A00
PDT with Photofrin,cancer,2C25.Y
Peanut allergy vaccine,hypersensitivity,4A83
PEDF gene therapy,degeneration,9B78.3
Peg. Adrenomedullin,disease,CA60-CA8Z
Pegadricase,Gout,FA25
Pegargiminase,deficiency,5C50.A3
Pegargiminase,cancer,2C11
Pegargiminase,carcinoma,2C12.02
Pegargiminase,Melanoma,2C30
Pegargiminase,Mesothelioma,2C51.2
Pegargiminase,tumour/cancer,2A00-2F9Z
PegCNTF,Obesity,5B81
Pegdinetanib,cancer,2C25.Y
Peginterferon beta,sclerosis,8A40
PEG-Interferon lambda (IL-29),infection,1A24-1D9Z
PEK fusion protein vaccine,cancer,2C77.0
PENCLOMEDINE,tumour/cancer,2A00-2F9Z
PENNVAX-6,infection,1C62
Pennvax-B,infection,1C62
Pennvax-G,infection,1C62
PENNVAX-GP/MVA-CMDR HIV vaccine regime,infection,1C62
PEP-6409,infection,1C62
Perifosine,tumour/cancer,2A00-2F9Z
Peru-15 pCTB,Diarrhea,ME05.1
PEV-6A,cancer,2C60-2C65
PEV-7,Candidiasis,1F23
PF-00337210,tumour/cancer,2A00-2F9Z
PF-01247324,Pain,MG30-MG3Z
PF-03716539,infection,1C62
PF-04518600,tumour/cancer,2A00-2F9Z
PF-04776548,infection,1C62
PF-04840082,Osteoporosis,FB83.0
PF-04895162,Epilepsy,8A60-8A68
PF-04995274,disease,8A20
PF-05082566,lymphoma,2B33.5
PF-05082566,tumour/cancer,2A00-2F9Z
PF-05105679,Pain,MG30-MG3Z
PF-05161704,diabetes,5A11
PF-05180999,Schizophrenia,6A20
PF-05186462,Pain,MG30-MG3Z
PF-05190457,diabetes,5A11
PF-05230901,Cachexia,MG20
PF-05230905,arthritis,FA20
PF-05230907,hemorrhage,8B00.4
PF-05231023,diabetes,5A11
PF-05241328,Pain,MG30-MG3Z
PF-05251749,disease,8A20
PF-05402536,dependence,6C4A.2
PF-06263276,vulgaris,EA90
PF-06263507,tumour/cancer,2A00-2F9Z
PF-06273340,Pain,MG30-MG3Z
PF-06282999,syndrome,BA41
PF-06293620,diabetes,5A11
PF-06305591,pain,MG30
PF-06342674,diabetes,5A10
