gene_name,drug_claim_name
OXER1,178102788
RAD54L,CHLOROQUINE-PYROLIDINYL
IL1B,ACNU
XIAP,DB04612
MAPK1,DNDI1417941
NR3C1,PREDNISOLONE
ERBB4,TAMATINIB
SLC6A4,DB04889
LHCGR,CYCLOPENTYLCARBAMIC ACID BIPHENYL-3-YL ESTER
PIK3R5,PX-866
,Amidine compound 3
HTR1B,DB00918
GRIK1,CHEMBL2103869
APP,Bapineuzumab
DRD4,DB04946
PRSS1,DB04107
CASP7,STICTIC ACID
THPO,PYRROLIDINE DITHIOCARBAMATE
PPARG,405560192
PDE4A,AN-2728
ADM,INDOMETHACIN
CYSLTR1,MONTELUKAST
ESR1,135651484
SMN2,CID 893238
GABRE,CLOTIAZEPAM
MAOA,PMID29757691-Compound-4
CRHR1,CHEMBL1287935
JAK2,Momelotinib
DRD2,CHEMBL479
HTT,CHEMBL2104986
UGT1A,GANETESPIB
GABRA5,QUAZEPAM
TLR3,CHEMBL2107862
KCNH2,AFIMOXIFENE
SI,DB00284
EGFL7,CHEMBL2109387
LTA4H,DG051
TYR,P-coumaric acid derivative 3
ATXN2,4-({[2-(BENZYLOXY)PHENYL]METHYL}AMINO)PHENOL
PLAU,Pro-urokinase
EGLN2,FG-4592
AURKC,AMG 900
LHCGR,DB00032
CCR2,9-CRA
CHUK,VITAMIN C
CACNA2D2,CHEMBL1059
OPRD1,404859098
MAPT,GARCINONE E
HTR1A,135650023
RACGAP1,MITOXANTRONE
GMNN,GNF-PF-4832
BRD2,ACETAMINOPHEN
KYAT3,DB00114
,PMID28394193-Compound-56
CD40,178101770
PIM2,404859073
F2,DB07527
F2RL1,340590216
SLCO1B1,ezetimibe / rosuvastatin
DUSP3,1
GRM3,178102843
NDUFAB1,CHEMBL3545135
TYR,Thiazolidine derivative 1
FAAH,310264778
PTCH1,Vismodegib
PPARG,363894182
ABCG2,leucovorin
HCAR2,135650039
GRM3,135649704
EGFR,GC1118
RARA,ADAPALENE
GRPR,135652124
ADORA2B,135649876
RTN4,ATI-355
PPP2CA,VP-102
IL5,RESLIZUMAB
G6PD,carbasalate calcium
CHRNA5,178100835
STK11,Radiotherapy
CD3E,384403634
CDK2,DB08248
HTR2A,135651279
EHMT2,NSC-111847
KDM4A,DNDI1417523
OPRM1,DAMGO
CD55,Coxsackievirus A21
ALDH1A1,DB00755
ESRRG,135650213
HSD17B10,SALMETEROL XINAFOATE
NPSR1,ERGOCORNINE
SCN5A,Indecainide
PLK1,(4-CHLOROPHENYL)(MORPHOLINO)METHANETHIONE
NT5E,PMID28870136-Compound-46
PTAFR,135650142
EGFR,Sorafenib
HRAS,DB04137
PIK3C2B,BGJ398
ZEB1,DOXORUBICIN
GPT,DB00160
HES1,ALL-TRANS-RETINOIC ACID
PRKCB,RUBOXISTAURIN HYDROCHLORIDE
GABRA3,BROMAZEPAM
NTRK1,DB08896
TP53,(Z)-PIPLARTINE
HDAC8,CUDC-101
SLC6A3,clozapine
FEN1,TCMDC-123532
PAX8,COLCHICINE
MAPK14,Dilmapimod
MCHR1,135652441
,Glutathione
KCNH2,CHLORANIL
BAX,RAPAMYCIN
AR,HYDROXYPROGESTERONE
MAPK1,GDC-0994
SCN1A,NITRAZEPAM
CSNK2A1,DB08846
ITGAL,CHEMOKINES
FLT1,REGORAFENIB
NSD2,N-(4-CARBOXYMETHENE)PHENYLPYRROLE
TNF,MEROPENEM
POLB,GNF-PF-4029
PLG,178103188
,GSK-625433
PTPN1,TRODUSQUEMINE
SRPK1,LINIFANIB
HSPB1,CYROMAZINE
ANXA1,ALCLOMETASONE
EHMT2,AG-537
CDC42BPB,249565884
,Calcium carbimide
TNF,Nafamostat
TAAR1,NCG-C00094421-01
IDO1,
CYP1A2,SPIRONOLACTONE
PTH1R,GNF-PF-5576
CACNA1S,CHEMBL1200326
MAPK14,223366022
CHRM5,SOLIFENACIN
GABRA4,PENTOBARBITAL
TUBA1C,CHEMBL289351
CYP3A4,ibuprofen
CYP2D6,SB-200646
NR1H4,DB00132
,SB-743921
POLB,TANSHINONE IIA
HTR3A,AD04
GRIK2,METHYLPHENOBARBITAL
CYP3A4,ZIDOVUDINE
KDM4A,PMID25468267-Compound-46
BLK,249565828
DRD1,DOPAMINE
GLRA1,CHEMBL1257
HSPA4,HALOPERIDOL
JAK2,PEMBROLIZUMAB
TGM2,CHEMOTHERAPEUTIC AGENT
MAOB,CHEMBL48582
IFNL3,simeprevir
CYP2A6,ifosfamide
CDK6,LEE011
ABL2,PONATINIB
SMO,Isoflavone derivative 2
GRIA1,DB01189
P2RY6,135650401
PFN2,DB02078
TUBA3C,DB01873
,Moxidectin
FOXL2,N/A
VEGFA,VEGF-121
CYP2C9,FINASTERIDE
PPARD,DASATINIB
MMP8,DB06971
AVPR2,135652398
AR,OXYQUINOLINE
CYP3A4,toremifene
IDH1,DNDI1417457
TEX10,duloxetine
,ACH-3102
KDM4A,DNDI1417207
GABRA5,NG2-73
CYP3A4,GW0742
TRPV1,TUMOR NECROSIS FACTOR
FASN,SJ000189154
TUBA3D,NOCODAZOLE
POLK,PINAFIDE
CYP7B1,SR 4233
CD3D,MT110
SOD2,ANTIOXIDANT
NR1H4,APOMINE
CYP1A2,DNDI1417719
CYP1A2,AURINTRICARBOXYLIC ACID
CCL21,CXC CHEMOKINES
PIK3CG,CHEMBL3545366
CYP2C19,Omeprazole
EHMT2,ENROFLOXACIN
NRP1,PEGAPTANIB
CACNB1,VERAPAMIL
RHO,DB04450
IGF1R,BIIB 022
THRB,NSC-95397
,DB00003
PRSS2,DB03127
ERBB2,Pertuzumab
NOTCH1,RO4929097
KDR,CHEMBL3545358
,Levomilnacipran
CYP2D6,perhexiline
GABRA5,CHEMBL1200733
HSPB1,OESTROGENS
EHMT2,CARBIDOPA
CD3D,ANTI-CD3 MONOCLONAL ANTIBODY
SCN5A,CHEMBL856
OPRK1,135650735
SMAD3,DASATINIB
SMN1,PICEATANNOL
,AFN-1720
UBE2N,GNF-PF-254
YES1,CHEMBL403989
SCNN1D,TRIAMTERENE
FGA,eptifibatide
KRAS,Ralimetinib
ADORA3,CHEMBL1200578
SLC15A1,substrate
RARB,DB04942
CHRNA3,nicotine
EHMT2,1-(4-HYDROXYPHENYL)MALEIMIDE
ABCB1,flupenthixol
NR1I2,DB01039
RIPK3,384403667
P2RY6,GC021109
IL6,CDP6038
MMP2,PMID29130358-Compound-Figure18(14a)
CYP3A4,L-687384
THRB,tiratricol
KDR,ORANTINIB
SLC6A4,DESIPRAMINE
CYP2C19,6-CHLOROMELATONIN
NT5E,PMID28870136-Compound-40
TP53,Alvespimycin
GABRA4,CHEMBL967
TLR2,MCS-18
AOX1,DB00924
ALOX5,DB02709
ADRB2,L-796568
CCND1,TAMOXIFEN
EEF2,DB02059
MAPK8,TCDD
APH1B,BMS-708163
KDR,CENISERTIB
PTGS2,DB09216
CHRNB4,CHEMBL1237082
MEN1,OXIDOPAMINE HYDROCHLORIDE
CFTR,GLPG-1837
HTR2A,135650777
SCN9A,CHEMBL1200841
ALDH1A1,RETINYL ACETATE
TUBA3C,ZAMPANOLIDE
ALPI,2-AMINOPHENOXAZINONE
F2,DB04136
NMUR2,135652330
HTR2A,135651037
DRD1,SPIPERONE
PABPC1,GNF-PF-4618
MAP2K1,LGX818
EGFR,CHEMBL1201577
CAPN2,PMID25399719-Compound-17
TGFBR1,DB04480
GRIA1,DB08883
PTEN,GEFITINIB
TOP1,3-FLUOROEVODIAMINE
GMNN,CAPTAN
XDH,ALLOPURINOL
SCN5A,DB01056
ALDH1A1,GNF-PF-1509
CD274,PMID30107136-Compound-Example1
MMP9,CHEMBL3833374
TRPV1,PMID25666693-Compound-3
RECQL,GW3965
DTNBP1,corticosteroids
IL2RA,EF-2
LRRK2,DNDI1417467
GABRA3,CHEMBL580
FEN1,DB14490
GRIN2A,DB00145
TNF,PCB
ESR1,Levormeloxifene non-steroidal
MET,363894199
CRYBG2,opioids
TACR1,RO-4908594
AVPR1A,DB00067
UQCR10,DB08690
AVPR1A,135652152
CYP11A1,CHEMBL1670
AKR1C1,DB04674
B4GALT4,DB00141
IDO1,
HDAC1,CHEMBL1213490
HTR3A,DDP-225
CYP2D6,AZATHIOPRINE
ADORA2B,135651453
PDGFRA,NINTEDANIB
GRIN3B,AM-101
HSP90AA1,DOXORUBICIN HYDROCHLORIDE
CXCR2,310264729
CDC42,GNRH
CYP1A2,bromazepam
TRPM7,DB04395
GBA,Isofagomine tartrate
KMT5A,178103601
ERBB4,DB08916
HRH3,Piperidine derivative 1
ABCB11,pravastatin
PTPN1,DB07651
,Peptide analog 24
PRKCE,DB11752
THRB,MGL-3196
GRIN2C,CHEMBL2107647
ALDH1A1,CISPLATIN
ALDH1A1,TPCK
ITGAL,lifitegrast
HRH1,CHEMBL1200450
CTSK,2-(1-CYCLODODECYLETHYLIDENE)HYDRAZINECARBOTHIOAMIDE
CYP3A4,imatinib
RHO,DB04147
ATP1A1,Ouabain
CYP2C19,FIPEXIDE
JAK1,354702275
TP53,Daunoxome
AR,CARMINOMYCIN
JAK2,385612218
DHRS9,PROTECTED SIPHONODICTYAL C
SLC6A4,DEXFENFLURAMINE
TYR,Beta-phenyl-alpha
TPI1,DB14548
ESR2,lapatinib
OPRK1,178103934
COQ2,hmg coa reductase inhibitors
TOP2B,Dhaq diacetate
DRD1,Phenyltoloxamine
TP53,APR-246
CLK2,LY-2090314
JAK1,CHEMBL3137308
KCNB2,135649796
PPARG,CHEMBL3545278
EGFR,310264675
EHMT2,ELLAGIC ACID
FAAH,Boronic acid derivative 4
CNR1,Pyrazole derivative 53
SMN2,7-HYDROXY ISOFLAVONE
CA4,178103413
CNR1,Pyrazole derivative 22
PPARA,tacrolimus
MAPT,CONGO RED
CACNA1I,FLUNARIZINE
VDR,DB04540
RXRA,PROGESTERONE
DRD2,DB09207
AR,DB14639
IGF1R,XL228
PHB,DB15495
RAC1,TCMDC-124310
HRH1,135649873
PIK3CD,GS-9901
KCNH2,BRL-54443
AGTR1,TASOSARTAN
FASN,TRIIODOTHYRONINE
,Decitabine
NOS1,363894143
IGF1R,BIIB022
ADRA1A,LISDEXAMFETAMINE
SRC,DB03525
SLC2A4,PSYLLIUM
SUMO2,HEXACHLOROPHENE
ADRB1,TIMOLOL
HSD17B10,NSC-128437
PSMA6,CHEMBL371405
CHRM2,135651190
OPRD1,Loperamide
HTR1A,partial agonist
ACVR1,DOVITINIB
APEX1,EUPAFOLIN
THRB,DB07425
CACNA1G,Trimethadione
CD19,DB12530
CHRNA6,178100789
TNF,Infliximab
ANKK1,DB12010
CSF2RB,TPI-ASM8
APEX1,LEVODOPA
CYP2C9,DILTIAZEM
CDK2,AR-A014418
CHRM4,VU10010
AR,PHANQUONE
NFE2L2,KEPONE
HDAC6,CUDC-101
CYP1A2,TYRPHOSTIN AG-1478
MLANA,Multi-epitope peptide melanoma vaccine
PAK1,PF-562271
IL23A,USTEKINUMAB
NR3C1,DIGITOXIN
NRG1,antipsychotics
ABCB1,nitrendipine
SCN5A,CHEMBL1201020
SMAD3,NSC-50688
JAK3,Tricyclic heterocycle derivative 1
CPT2,DB00583
HPGD,ALPRAZOLAM
GRPR,135652119
CATSPER2,178102065
RPE65,Emixustat
HTR2A,CHLORPROTHIXENE
CA2,DB07048
NR3C2,CHEMBL3545275
MCHR1,223366088
TYMS,DEXAMETHASONE
AR,TANSHINONE IIA
SMOX,AZASERINE
FPR1,SULFINPYRAZONE
CYP2B6,COLCHICINE
HTR2A,LOXAPINE
PIM1,DB08707
AVPR2,VASOPRESSIN
NMUR2,310264788
KCNH2,Desmethylastemizole
HCRTR1,1
STK16,HESPERADIN
KDM4E,JUGLONE
NDUFAF3,CHEMBL1703
PDE5A,DB00820
EZH2,PMID28394193-Compound-53
SHBG,DB01593
MAPT,3
CYBB,363894229
CYP24A1,VITAMIN D
HSP90B1,DB02935
MAP3K9,328083457
GSTP1,5-AZADEOXYCYTIDINE
PTGS2,Rofecoxib
IDH1,S-(+)-FLUOXETINE HCL
ADRA1A,DB00865
TRPV4,53801079
BRS3,178100773
,PMID30107136-Compound-Example12
AURKA,178102344
,PMID28394193-Compound-46
HDAC8,CHEMBL1213490
ITGA5,DMSO
KCNH2,CLORGYLINE HYDROCHLORIDE
IL1B,tiludronate
CXCR3,135651693
MAP2K1,TAK-733
ADORA2A,MRE-0094
P2RY11,DB00171
SIK2,DB12010
ITIH4,DB14548
FKBP1A,TACROLIMUS
GABRA5,DB00312
VKORC1,CHEMBL1466
CLCNKA,178100996
PRKCG,BRYOSTATIN-1
PIK3CB,QUERCETIN
SLC18A1,178101536
PARP2,VELIPARIB
TSPO,Quinoline carboxamide derivative 10
SLC6A9,375973252
CACNG4,CHEMBL593430
MMP3,MARIMASTAT
PTGER2,Alprostadil
AFP,VINCRISTINE
SERPINE1,TIPLASININ
PDPK1,DB01863
NME1,DB03103
MMP13,DB04759
GABRA4,OXAZEPAM
MET,Crizotinib
CYSLTR2,178100541
BTK,DTRMWXHS 12
ADCYAP1R1,135652385
DAPK3,TAE-684
ABCC1,paclitaxel
PRSS1,DB08420
TEK,CABOZANTINIB
SRMS,LINIFANIB
PIK3R2,CHEMBL3218576
ESR1,DB00648
SCN5A,Fosphenytoin
SIGMAR1,ADX N05
HSD17B10,GNF-PF-2347
NFKB1,FURAFYLLINE
NFE2L2,PROTEIN PHOSPHATASE INHIBITOR
DHRS9,(+/-)-SPONGIAQUINONE
MAPK9,GO-6976
CYP2B6,CLOPIDOGREL
HSD17B10,OCTADEC-17-YNOIC ACID
SCN7A,CHEMBL1200409
CHRM1,METHYLSCOPOLAMINE
CA1,135651493
TDP1,BENZOQUINONE
DRD3,GSK618334
MMP8,DB02953
PARP1,AG140699
CYP3A4,astemizole
NPC1,4'
RARG,Tazarotene
MET,CENISERTIB
NTRK1,Bicyclic heteroaryl benzamide derivative 7
GRIA1,DB13146
BBOX1,BENZENE SELENOIC ACID
EGFR,SN-32793
CNR1,375973218
NTRK2,GW632580X
MYC,LEUKOCYTE INTERFERON
UCK2,DB02431
EPOR,INHIBITOR
IFNW1,ITCA-638
GABRA2,178103688
CASP3,GNF-PF-5159
PDE4A,LIRIMILAST
SCN11A,CHEMBL79
TUBB,CHEMBL1201752
KDM4E,5
USP1,IDARUBICIN HYDROCHLORIDE
ADRA1A,DB06706
KMT2A,AURINTRICARBOXYLIC ACID
NR1H4,PMID29649907-Compound-40
ROS1,OSI-632
RUNX1,DAUNORUBICIN
COL1A1,DB11338
ALK,310264740
HTR2C,CHEMBL2095211
KAT2B,178103580
SLC2A1,DB11059
JAK3,178102616
GMNN,SOFALCONE
AQP7,381118898
ADORA1,THEOPHYLLINE
GAA,NSC-19803
MMP3,BERKELEYACETAL B
CHRM5,GSK233705
EGFR,XL647
ERN1,T8361
ADORA1,135650107
AURKA,SNS-314
FPGS,5-FU
GSK3A,RG-1530
MPHOSPH8,FLUPIRTINE MALEATE
RORB,310264687
NTF3,VINCRISTINE
VEGFA,Indoline derivative 12
IL1B,DB05442
RXRB,BEXAROTENE
HRH1,135650838
SMAD3,DNDI1417099
CYP19A1,R 75251
KLKB1,252166701
SNCA,N-(3-CARBOXYPHENYL)RHODANINE
ADRA1A,LABETALOL
IDH1,CHLORPROMAZINE HYDROCHLORIDE
HSP90AA1,DEBIO 0932
MRM2,Plazomicin
CCR1,GSK2941266
XRCC3,Platinum compounds
HTR2B,DB05461
CYP3A4,dronedarone
SIGMAR1,SA-5845
GLTP,DB03203
KCNN4,DB00468
TP53,Cyclophosphamide
RAD54L,AMSACRINE HYDROCHLORIDE
CYP4F11,warfarin
FBP1,
IDH1,TRIFLUOPERAZINE HYDROCHLORIDE
KIR2DL3,IFN
OPRM1,315661268
PPARG,PIOGLITAZONE
CDK2,DB08535
GRM5,6-aryl-imidazopyridine and 6-aryl-triazolopyridine carboxamide analog 2
PIK3CG,TG100-115
TLR8,CL-075
ADCY1,DB00171
P2RY2,DIQUAFOSOL
,NC-4016
PIK3CD,CHEMBL3545247
ABCB1,docetaxel
AR,MELOXICAM
,SAFINGOL
SFRP5,Bisphosphonates
ALPL,DIHYDRODAPHNODORIN B
MAPK10,PROTEASOME INHIBITOR
WARS2,DB00150
JAK2,Pyrrolo[2
BRAF,DABRAFENIB
POLK,RUTIN
NPY1R,TCMDC-125620
TP53,(+)-THALIPORPHINE
PEBP1,FLUTAMIDE
RGS4,TRIFLUOPERAZINE
PTGS1,178103707
ESR1,KEPONE
SLC6A2,DULOXETINE
TYR,PMID26815044-Compound-48
LIMK1,DNDI1417467
HPGD,AM-404
GRIN2A,DB00949
FLT3,178101630
IDE,252166800
RAD54L,SJ000279636
BIRC5,PLATINUM COMPOUND
TGFBR3,antidepressants
CATSPER1,178102065
MTOR,CHEMBL1801204
ADRB1,CHEMBL1200323
BIRC5,EPIRUBICIN
CD200,ALXN6000
ADRB2,CLENBUTEROL
S100A13,DB01164
CACNA2D2,DB01244
NTRK1,249565818
RXRB,DB00926
DDIT3,STZ
IGHV3-30,DB08396
,3-phenyl propanoic derivative 1
POLB,DOXORUBICIN HYDROCHLORIDE
GMNN,N-ETHYLMALEIMIDE
NPR1,Ataciguat
AURKA,AZD-1152-HQPA
ESR2,CHEMBL3545389
MTNR1B,404859113
,Moxifloxacin
RNASEL,C-5950331
CD19,Patient-derived CD19- and CD22 specific CAR
BDNF,IMIPRAMINE
GAL,DHEA
ACP1,CEFDINIR
SMN1,DAIDZEIN
PDGFRA,DCC-2618
NFKB2,DB05767
GABRA5,DB00463
GRIN2B,178100909
ABCC2,EFAVIRENZ
NPFFR1,178100842
RNASE1,DB03186
KAT2A,OXYTETRACYCLINE
CHRM3,135652706
MTOR,CHEMBL1258517
RAB9A,NICLOSAMIDE
FAAH,clozapine
GABRA1,CHEMBL646
EPHA3,HESPERADIN
CTSB,PMID27998201-Compound-12
ADRA2B,ligand
NFE2L2,2-METHOXY-1
TACR3,TALNETANT
APAF1,DOXORUBICIN HYDROCHLORIDE
SOD2,valproic acid
NR1H4,PMID29649907-Compound-24
TPH1,TETRAHYDROBIOPTERIN
FEN1,IDARUBICIN
PPARG,DB00313
PIK3CD,BAY80-6946
TLR7,CHLOROQUINE
GABRA1,HALAZEPAM
CHEK1,CHEMBL3545137
KDM4E,FISETIN
PTGS1,310264778
HTR1B,DB06216
TYMS,PEMETREXED
AR,ENZALUTAMIDE
MAP2K2,CHEMBL2105741
VEGFA,Carbamide derivative 19
MAP2K1,JNJ-7706621
TNFRSF18,INCAGN1876
KCNE1,INDOMETHACIN
STAT3,Curcumin analog 1
SRC,DB03712
CDK4,DB09073
CHRM4,135650726
PIK3CG,ZSTK474
PSMB5,CLASTO-LACTACYSTIN BETA-LACTONE
PRKCZ,US8889672
CYP3A4,DERRUBONE
STK3,BAY-613606
NPR1,ISOSORBIDE DINITRATE
CHRNA2,MECAMYLAMINE
CDK1,SCH727965
DCLK1,TAE-684
SMAD3,EPIRUBICIN HYDROCHLORIDE
SIK3,340590212
VDR,LAWSONE
FLT1,RECENTIN
,MEDI3902
CHRM1,135650115
CLU,DB09130
ANXA1,DB14541
DDIT4,PF-04523655
ADRB3,DB11124
GABRE,CLORAZEPATE
FGF1,CVBT-141H
XIAP,PMID25980951-Compound-4
OXTR,135651087
EDNRB,CHEMBL61780
AKT1,carboplatin
CD1A,Antithymocyte globulin
CYP1A2,ESTRADIOL
TMPRSS15,GNF-PF-254
MAPT,CURCUMIN
GALR3,178102723
HGF,METHOTREXATE
KDR,VATALANIB
SCAP,atorvastatin
AGTR2,BFGF
BAZ2B,DIHYDROERGOCRISTINE MESYLATE
FLT4,CHEMBL1721885
MGLL,375973216
MAPT,DIHYDROERGOTAMINE MESYLATE
,DB09348
PTGS2,CHEMBL25
PIK3C2B,252827496
THRB,MB-07811
ESR1,DAIDZEIN
CYP3A4,SIBUTRAMINE HYDROCHLORIDE
MAPK14,N-(3-OXODODECANOYL)HOMOSERINELACTONE
,PMID25435179-Compound-WO2013059587(V
CDK6,223366077
MET,ABBV-399
KCNQ5,CHEMBL284348
PIK3CD,328083524
HTT,FLUOROSALAN
HTR2A,DSP-1200
CTSS,VBY- 891
FRK,REGORAFENIB
PIK3CA,XL-765
ABCB1,gramicidin d
ECE2,252166821
PSMA8,CHEMBL2103884
MAP4K5,GNF-PF-3023
IDH1,SJ000293754
GRM5,Pyrrolidine derivative 1
HDAC7,CHEMBL3545052
KCNK3,135651438
KDR,VATALANIB
MMP12,223366143
HTR1B,135651134
GABRA4,CHEMBL661
F2R,BLEOMYCIN
FGFR2,Debio 1347
PARP2,BMN673
BRDT,PMID26924192-Compound-105
ABL1,ENTRECTINIB
BLK,OSI-632
LTC4S,336446942
ESR1,ixabepilone
PLA2G4A,Pyrazolones
ADORA1,ROLOFYLLINE
PDE4C,363894172
VHL,BPTES
TUBA4A,VINBLASTINE
DHODH,LEFLUNOMIDE
PTH2R,135652607
PTK2,PF00562271
ALK,RG-1530
P2RY2,DB04786
VDR,PROTOPORPHYRIN
ADORA2A,135651557
TYK2,DB04716
RARB,TAMIBAROTENE
SMAD4,Carboplatin
HSPB1,DNDI1417169
CSNK1D,AZD-1152-HQPA
,DB00258
VDR,FPL-55712
PRKACA,DB07583
YES1,178103494
RET,LOXO-292
,DPK-060
BCHE,DB00122
PNLIP,CETILISTAT
CASP1,135649959
TGM2,Chalcone derivative 5
EGFR,Linsitinib
VEGFA,AE-941
FRK,CYC-116
CD19,CD19-targeted CAR-T cells
POLK,7
AR,PREDNISOLONE ACETATE
HPGD,TPCK
FGFR1,brivanib
CDK2,TG-02
PDPK1,DB07033
PPARD,3R14S-OCHRATOXIN A
PSME2,BORTEZOMIB
GRM2,178102840
MMP13,DB02071
PPARA,DB07724
PPIB,DB00172
HDAC4,BUTANOIC ACID
CDK1,249565794
TP53,AZACITIDINE
TYR,Aromatic hydrazine carboxyimidoamide derivative 4
TYK2,CENISERTIB
ESR1,DAUNORUBICIN HYDROCHLORIDE
NR1I2,efavirenz
PLD1,US9453017
,DB00262
RORC,GUGGULSTERONE
CDK9,Nitrogen mustard derivative 1
NDUFA10,CHEMBL3545320
TUBA3D,CHEMBL1743082
CHRNA3,EPIBATIDINE
,Cisplatin
COL1A2,IFN
,Lotilibcin dermatological cream
AKT1,MK-2206
MUC16,N/A
GABRA1,DB01353
DKK1,Sulfonamide derivative 17
TNKS,404859120
CYP3A4,(S)-VERAPAMIL
ALOX15,LY-255283
ITGB2,FAS-LIGAND
,Aciclovir
TRPC3,381744962
HTR1D,135650809
STK26,DB12010
POLK,HOE-33342
PTGS2,MELOXICAM
HDAC8,SB939
ITIH3,DB01593
CD40LG,PROSTAGLANDIN E1
FCGR3B,DB11767
KDM6B,178103606
EP300,178103578
CYP2D6,VORICONAZOLE
GABRA2,TALBUTAL
EHMT2,IODOPHTHALEIN
TUBA3E,LARGAZOLE
MPL,Lusutrombopag
ADRA2C,NOREPINEPHRINE
MAP2K7,P-toluenesulfonate derivative 1
CYP2D6,PSEUDOEPHEDRINE
GPR17,178102167
NFKB2,DIOSMETIN
PIK3CA,404859074
GRM8,135651501
LCN9,DB03711
,CMLVAX100
,SPN-803
KCNH2,DB01244
GPBAR1,Sodium taurocholate
ACE2,ORE-1001
NFE2L2,ALOE-EMODIN
PHYH,DB13998
RAD52,HYDROXYSTILBAMIDINE ISETHIONATE
GRIK2,178101000
PDE4B,DB06909
JAK2,PMID27774822-Compound-Figure10Example19
ADORA1,DB00824
PGAM1,DB09130
PTEN,TRASTUZUMAB
KDR,PAZOPANI
KDR,SUNITINIB
FGFR2,DB10770
TOP1,EVODIAMINE
VEGFA,Quinoline and quinazoline derivative 2
EHMT2,DITHIAZANINE IODIDE
P2RY1,178102524
CNR1,Pyrazole derivative 20
HTR3A,CHEMBL1200940
HTR1B,DB09068
,PMID25656651-Compound-5
GABRA6,TEMAZEPAM
MAP3K12,249565853
ITGB2,CHEMBL2048028
GABRA1,DB00599
PSMC3,DB12695
PTEN,Abiraterone
SMN1,CID 739615
CXCL8,RETINOL
CYP3A5,paclitaxel
CDC7,249565795
PDGFRA,MIDOSTAURIN
ADRA1A,DB00575
DBH,Etamicastat
TAS2R31,315661196
KCNG2,CHEMBL2107762
CMTR1,DB00118
HSPG2,D-20133
MAPT,MESNA
DRD2,DB12061
HDAC5,PMID29671355-Compound-43
PYGM,DB08151
C5,NNC-0151-0000-0000
LIMK2,363894133
TP53,SANGUINARIUM
RECQL,SULFURETIN
NFE2L2,8-FLUOROTRYPTANTHRIN
HSP90AB1,DERRUBONE
FLT1,CHEMBL1614710
MT-ND1,DB01159
RARA,NALOXONE
RECQL,GENTIAN VIOLET
NRAS,SELUMETINIB
PSMD2,CARFILZOMIB
SERPINE1,DB00029
NF1,PLX3397
TSHR,DINOPROSTONE
AANAT,DB14011
BCL2,DB09213
TUB,Ixabepilone
FEN1,ALEXIDINE HYDROCHLORIDE
SLC18A2,DB01472
ERBB3,9F7-F11
CLCN2,178101059
CLU,PMSG
SLC22A12,DB01138
MAGEC1,CV-9201
SMAD3,TRICLOSAN
CYP3A4,3
CCR5,TBR-652
SMN2,CID 670282
ADRB2,DB00368
CACNA2D3,CHEMBL593430
CYP1A2,FLOXURIDINE
CSNK1G1,ILORASERTIB
MAP2K2,Cobimetinib
NPC1,10-METHOXYLRUTAECARPINE
GMNN,2
HPGD,DNDI1417221
EDN1,INSULIN
FGFR3,B-701
VDAC3,DB01375
ESR1,Alpelisib
BACE1,384403673
GABRA5,DB01355
IL1B,ustekinumab
CYP1A2,GNF-PF-265
PLG,DB00009
MAP2K1,AG-1879
FCGR3A,DB12023
EGFL7,Anti-EGFL7
SMO,SONIDEGIB
AKR1B1,UVB
CACNB2,celecoxib
GABRQ,CHEMBL1102
PIK3R1,BAY80-6946
AOX1,febuxostat
ADRA2B,135650785
KIT,DCC-2618
KDR,Vandetanib
GABRA1,CHEMBL1341
POLH,MITOXANTRONE DIHYDROCHLORIDE
EHMT2,FLUTAMIDE
OPRM1,135650145
CYP2C19,TICLOPIDINE
MET,INC280
NFKB2,PMID25553724-Compound-US2012810604610
ATAD5,QUINACRINE
HDAC5,APICIDIN
XDH,QUERCETIN
THPO,S-METHYL-D-THIOCITRULLINE
MAP4K2,AST-487
DAPK3,DB07125
EHMT2,LOMEFLOXACIN
CDK2,TOMUDEX
MAPT,PHENAZOPYRIDINE HYDROCHLORIDE
CYP3A4,BETA-CCM
HDAC4,PMID29671355-Compound-47d
P4HB,LIQUIRITIN
CKM,DB13191
EML4,AP26113
KCNH2,LOBELINE HYDROCHLORIDE
NFE2L2,OCTABENZONE
EHMT2,METERGOLINE
NFE2L2,RESVERATROL
SLC2A4,INDOMETHACIN
AVPR1A,DB09059
HDAC4,PMID29671355-Compound-25
CDK2,178103951
HTR1A,CHEMBL2219425
KDR,LINIFANIB
AURKA,ENMD-2076
ATRX,Doxorubicin
PTPN11,MESO-2
JAK1,Tricyclic heterocycle derivative 5
GLO1,DB03130
CHRM1,DB00483
GMNN,GNF-PF-4029
CSNK2A1,CHEMBL1230165
NME1,DB03491
CYP17A1,DB14011
NLRP1,178101721
,ATG-Fresenius S
NFKB2,NF-KB DECOY
GSTP1,CARBOPLATIN
NR3C1,PREDNISOLONE
FGFR3,DB00039
CTSS,DB08611
PIK3CB,SF1126
GPR183,178101170
TGM2,IONOMYCIN
KCND1,DB06637
THRA,135650713
DNMT1,Oral azacitidine
S100A12,BMS-927711
PIK3CG,CHEMBL592445
CDK6,178102566
PTGS1,DB01837
CCL21,IMMUNOMODULATORS
HSD17B10,NSC-47924
TSPO,Eszopiclone
ERBB4,Erlotinib
HTR1F,DB00696
ADRA1B,CHEMBL3559672
ADCYAP1R1,315661220
RXFP3,178100740
CRHR1,384403659
FPR1,AG-14
